Tipo_Chamado,Status,Organizacoes,criado,primeira_resoista,tempo_de_resolucao
New Feature,Entregue,Visione,11/05/2023,-49:33:00,-33:33:00
Bug,Entregue,Sintesc,10/05/2023,06:51,06:51
Bug,Entregue,Sintesc,10/05/2023,05:44,21:44
Bug,Entregue,Sintesc,09/05/2023,03:00,19:00
Bug,Entregue,Bulbe,09/05/2023,07:01,23:01
HelpDesk Support,Resolvido,Bulbe,09/05/2023,06:45,22:44
Bug,Entregue,Bulbe,09/05/2023,-35:04:00,-19:04:00
Bug,Entregue,Pro Labore,08/05/2023,-15:36:00,00:23
Bug,Entregue,Pro Labore,08/05/2023,-32:00:00,-30:08:00
Bug,Entregue,Sintesc,08/05/2023,05:30,21:30
Bug,Entregue,Sintesc,08/05/2023,05:52,21:52
Bug,Entregue,Sintesc,08/05/2023,-29:32:00,-13:32:00
Bug,Entregue,Sintesc,05/05/2023,04:38,20:38
Bug,Entregue,Bulbe,04/05/2023,02:13,18:13
Bug,Entregue,Claro - Hub de Aparelhos,03/05/2023,-223:46:00,-207:46:00
Bug,Entregue,Claro - Hub de Aparelhos,03/05/2023,-53:35:00,-37:35:00
Bug,Entregue,Sintesc,02/05/2023,-56:34:00,-40:34:00
Bug,Entregue,Sintesc,02/05/2023,-00:26:00,06:44
Bug,Entregue,Sintesc,02/05/2023,-01:51:00,03:56
Bug,Entregue,Bulbe,02/05/2023,-29:59:00,-13:59:00
Bug,Entregue,Sintesc,29/04/2023,-24:00:00,-08:00:00
Bug,Entregue,Pro Labore,28/04/2023,-42:10:00,-50:10:00
Bug,Entregue,Visione,27/04/2023,-24:00:00,-08:00:00
Bug,Entregue,Visione,27/04/2023,-40:00:00,-24:00:00
Bug,Entregue,Visione,27/04/2023,-47:02:00,-31:02:00
Bug,Entregue,Visione,27/04/2023,-23:49:00,-07:49:00
Bug,Entregue,Visione,27/04/2023,-48:25:00,-32:25:00
Bug,Entregue,Visione,27/04/2023,-32:33:00,-16:33:00
Bug,Entregue,Visione,27/04/2023,-23:05:00,-07:05:00
Bug,Entregue,Visione,27/04/2023,-22:08:00,-06:08:00
Bug,Entregue,Sintesc,26/04/2023,-29:35:00,-13:35:00
Bug,Entregue,Sintesc,26/04/2023,-32:30:00,-16:30:00
